x,y,z_COG,w_COG,z_MoM,w_MoM,z_ModMoM,w_ModMoM,z_CA,w_CA,,,x,y,z_COG,z_MOM,z_ModifiedMOM,z_CA,w_COG,w_MOM,w_ModifiedMOM,w_CA,,Z_COG差,W_COG差,,z_MoM差,w_MoM差,,z_ModMoM差,w_ModMoM差,,Z_CA,W_CA
-3.8,0.1,1.651190476,1132.696695,0.25,1189.95,0.25,1189.95,0.25,1189.95,,,-3.8,0.1,1.651190476,0.25,0.25,0.25,1133.033183,1190,1190,1190,,0,-0.061157024,,0,-0.05,,0,-0.05,,3.00E-15,-0.05
-3.8,0.2,1.693442623,1131.082409,0.5,1179.95,0.5,1179.95,0.5,1179.95,,,-3.8,0.2,1.693442623,0.5,0.5,0.5,1131.39834,1180,1180,1180,,0,-0.057407406,,0,-0.05,,0,-0.05,,3.00E-15,-0.05
-3.8,0.3,1.754545455,1128.690535,0.75,1169.95,0.75,1169.95,0.75,1169.95,,,-3.8,0.3,1.754545455,0.75,0.75,0.75,1128.992337,1170,1170,1170,,0,-0.054832345,,0,-0.05,,0,-0.05,,2.00E-15,-0.05
-3.8,0.4,1.830516432,1125.687758,1,1159.95,1,1159.95,1,1159.95,,,-3.8,0.4,1.830516432,1,1,1,1125.979834,1160,1160,1160,,0,-0.053061223,,0,-0.05,,0,-0.05,,2.00E-15,-0.05
-3.8,0.5,1.918421053,1122.196299,1.25,1149.95,1.25,1149.95,1.25,1149.95,,,-3.8,0.5,1.918421053,1.25,1.25,1.25,1122.481728,1150,1150,1150,,0,-0.05185185,,0,-0.05,,0,-0.05,,9.99E-15,-0.05
-3.8,0.6,3.918320611,1118.307815,1.5,1139.95,1.5,1139.95,2.666666667,1133.283333,,,-3.8,0.6,3.918320611,1.5,1.5,2.666666667,1118.588785,1140,1140,1133.333333,,0,-0.051041665,,0,-0.05,,0,-0.05,,3.33E-10,-0.050000333
-3.8,0.7,4.68372093,1118.307815,5,1139.95,5,1139.95,3.607142857,1135.664286,,,-3.8,0.7,4.68372093,5,5,3.607142857,1118.588785,1140,1140,1135.714286,,0,-0.051041665,,0,-0.05,,0,-0.05,,-1.43E-10,-0.049999714
-3.8,0.8,4.880046404,1125.687758,5.05,1159.95,5.05,1159.95,4.2875,1149.95,,,-3.8,0.8,4.880046404,5,5,4.25,1125.979834,1160,1160,1150,,0,-0.053061223,,0.05,-0.05,,0.05,-0.05,,3.75E-02,-0.05
-3.8,0.9,4.969772257,1131.082409,5,1179.95,5,1179.95,4.694444444,1172.172222,,,-3.8,0.9,4.969772257,5,5,4.694444444,1131.39834,1180,1180,1172.222222,,0,-0.057407406,,0,-0.05,,0,-0.05,,-4.44E-10,-0.050000222
-3.8,1,5,1133.142782,5,1194.95,5,1194.95,5,1194.95,,,-3.8,1,5,5,5,5,1133.492891,1195,1195,1195,,0,-0.063643234,,0,-0.05,,0,-0.05,,-9.77E-15,-0.05
-3.8,1.1,5.030227743,1131.082409,5,1179.95,5,1179.95,5.305555556,1172.172222,,,-3.8,1.1,5.030227743,5,5,5.305555556,1131.39834,1180,1180,1172.222222,,0,-0.057407406,,0,-0.05,,0,-0.05,,4.44E-10,-0.050000222
-3.8,1.2,5.119953596,1125.687758,5.05,1159.95,5.05,1159.95,5.7875,1149.95,,,-3.8,1.2,5.119953596,5,5,5.75,1125.979834,1160,1160,1150,,0,-0.053061223,,0.05,-0.05,,0.05,-0.05,,3.75E-02,-0.05
-3.8,1.3,5.31627907,1118.307815,5,1139.95,5,1139.95,6.392857143,1135.664286,,,-3.8,1.3,5.31627907,5,5,6.392857143,1118.588785,1140,1140,1135.714286,,0,-0.051041665,,0,-0.05,,0,-0.05,,1.43E-10,-0.049999714
-3.8,1.4,6.081679389,1118.307815,8.5,1139.95,8.5,1139.95,7.333333333,1133.283333,,,-3.8,1.4,6.081679389,8.5,8.5,7.333333333,1118.588785,1140,1140,1133.333333,,-1.07E-14,-0.051041665,,0,-0.05,,0,-0.05,,-3.33E-10,-0.050000333
-3.8,1.5,8.081578947,1122.196299,8.75,1149.95,8.75,1149.95,8.75,1149.95,,,-3.8,1.5,8.081578947,8.75,8.75,8.75,1122.481728,1150,1150,1150,,0,-0.05185185,,0,-0.05,,0,-0.05,,0.00E+00,-0.05
-3.8,1.6,8.169483568,1125.687758,9,1159.95,9,1159.95,9,1159.95,,,-3.8,1.6,8.169483568,9,9,9,1125.979834,1160,1160,1160,,0,-0.053061223,,0,-0.05,,0,-0.05,,0.00E+00,-0.05
-3.8,1.7,8.245454545,1128.690535,9.25,1169.95,9.25,1169.95,9.25,1169.95,,,-3.8,1.7,8.245454545,9.25,9.25,9.25,1128.992337,1170,1170,1170,,0,-0.054832345,,0,-0.05,,0,-0.05,,0.00E+00,-0.05
-3.8,1.8,8.306557377,1131.082409,9.5,1179.95,9.5,1179.95,9.5,1179.95,,,-3.8,1.8,8.306557377,9.5,9.5,9.5,1131.39834,1180,1180,1180,,0,-0.057407406,,0,-0.05,,0,-0.05,,0.00E+00,-0.05
-3.8,1.9,8.348809524,1132.696695,9.75,1189.95,9.75,1189.95,9.75,1189.95,,,-3.8,1.9,8.348809524,9.75,9.75,9.75,1133.033183,1190,1190,1190,,0,-0.061157024,,0,-0.05,,0,-0.05,,0.00E+00,-0.05
-3.8,2,8.361078316,1133.142782,9.9,1194.95,9.9,1194.95,9.9,1194.95,,,-3.8,2,8.361078316,9.9,9.9,9.875,1133.492891,1195,1195,1195,,0,-0.063643234,,0,-0.05,,0,-0.05,,2.50E-02,-0.05
-3.7,0,1.644273302,1132.953327,0.15,1192.45,0.15,1192.45,0.15,1192.45,,,-3.7,0,1.644273302,0.15,0.15,0.1875,1133.296296,1192.5,1192.5,1192.5,,0,-0.062340003,,0,-0.05,,0,-0.05,,-3.75E-02,-0.05
-3.7,0.1,1.651190476,1132.696695,0.25,1189.95,0.25,1189.95,0.25,1189.95,,,-3.7,0.1,1.651190476,0.25,0.25,0.25,1133.033183,1190,1190,1190,,0,-0.061157024,,0,-0.05,,0,-0.05,,3.00E-15,-0.05
-3.7,0.2,1.693442623,1131.082409,0.5,1179.95,0.5,1179.95,0.5,1179.95,,,-3.7,0.2,1.693442623,0.5,0.5,0.5,1131.39834,1180,1180,1180,,0,-0.057407406,,0,-0.05,,0,-0.05,,3.00E-15,-0.05
-3.7,0.3,1.754545455,1128.690535,0.75,1169.95,0.75,1169.95,0.75,1169.95,,,-3.7,0.3,1.754545455,0.75,0.75,0.75,1128.992337,1170,1170,1170,,0,-0.054832345,,0,-0.05,,0,-0.05,,2.00E-15,-0.05
